Year,Total
1980,253000
1980,1866448
1980,537400
1980,1673051
1980,49390
1980,130103
1980,1209440
1980,12131
1980,36910
1980,71162
1980,160788
1980,37745
1980,199514
1980,24500
1980,1477040
1980,610112
1980,53174
1980,7883250
1980,1342000
1980,1330000
1981,240000
1981,130000
1981,874
1981,893
1981,884
1981,884
1981,894
1981,891
1981,893
1981,11373861
1981,6260
1981,6542
1981,30588
1981,621607
1981,117509
1981,8244234
1981,50430
1981,672895
1981,9054
1981,818810
1981,60447
1981,1752820
1981,970074
1981,10000
1981,2043258
1981,9397
1981,921484
1981,23400
1981,2181680
1981,1000000
1981,48500
1981,435418
1981,145068
1981,1649340
1981,114576
1981,100716
1981,22499
1981,6535
1981,6895
1981,755630
1981,21487
1981,311083
1981,7501
1981,8430
1981,20940
1981,99251
1981,9550
1981,199
1981,25155
1981,58917
1981,33669
1981,2028570
1981,906272
1981,857160
1981,832389
1981,574477
1981,3064443
1981,2600094
1981,3097180
1981,2474889
1981,4200594
1982,305500
1982,20000
1982,12000
1982,2328934
1982,5687533
1982,16978
1982,5106340
1982,5185011
1982,2051429
1982,3735960
1982,10000
1982,2076911
1982,2246417
1982,2308620
1982,2318246
1982,44540
1982,470942
1982,2713592
1982,889776
1982,52060
1982,48460
1982,3880
1982,5387882
1982,3029060
1982,93691
1982,109105
1982,10507
1982,10394
1982,227562
1982,16914
1982,53000
1982,16128
1982,12384
1982,12840
1982,14000
1982,50000
1982,18598
1982,33446
1982,19170
1982,439958
1982,1557000
1982,50299
1982,34671
1982,9689600
1982,1000000
1982,2109667
1982,777691
1982,2190800
1982,1552366
1982,3074739
1982,3645852
1983,279000
1983,269000
1983,1330000
1983,2560000
1983,284650
1983,3659674
1983,60017
1983,2726310
1983,18909761
1983,100000
1983,2388034
1983,5480036
1983,3113276
1983,9000
1983,7284159
1983,640000
1983,106321
1983,213679
1983,3280000
1983,661000
1983,45258
1983,8953054
1983,3621085
1983,1824836
1983,8651
1983,43227
1983,1318512
1983,3465000
1983,559762
1983,656586
1983,1097414
1983,23630
1983,123321
1983,632476
1983,714796
1983,684051
1983,650406
1983,881485
1983,717803
1983,28422
1983,46648
1983,69144
1983,73600
1983,9996783
1983,2869934
1983,379012
1983,11712086
1983,1146035
1983,2483949
1983,1333210
1983,2411483
1983,71
1983,387
1983,326
1983,416
1983,32
1983,128
1983,204
1983,211
1983,268
1983,310
1983,363
1983,391
1983,428
1983,443
1983,617
1983,322
1983,344
1983,357
1983,417
1983,423
1983,440
1983,458
1983,463
1983,640
1983,150
1983,235
1983,287
1983,308
1983,460
1983,498
1983,662
1983,55
1983,193
1983,221
1983,280
1983,540
1983,545
1983,116
1983,146
1983,280
1983,418
1983,536
1983,92
1983,209
1983,238
1983,300
1983,303
1983,449
1983,492
1983,543
1983,652
1983,807
1983,209
1983,210
1983,250
1983,257
1983,270
1983,279
1984,845000
1984,512000
1984,2487000
1984,802000
1984,56000
1984,20100000
1984,8400000
1984,60000
1984,2620000
1984,2430000
1984,8340000
1984,7400000
1984,89075
1984,1297436
1984,103251
1984,250000
1984,46000
1984,3371101
1984,99964
1984,2880507
1984,241675
1984,217098
1984,475157
1984,762115
1984,30847735
1984,403472
1984,55000
1984,50000
1984,53322
1984,2000000
1984,2700170
1984,562986
1984,1096000
1984,25282
1984,668000
1984,206014
1984,2495412
1984,816253
1984,4811849
1984,36981
1984,486854
1984,27315
1984,77570
1984,14536624
1984,743903
1984,8555000
1984,743902
1984,4995000
1984,5720000
1984,5555000
1984,677956
1984,677957
1984,481600
1984,4800000
1984,867
1984,1083
1984,519
1984,958
1984,603
1984,1023
1984,588
1984,720
1984,598
1984,380
1984,956
1984,757
1984,1014
1984,1017
1984,1040
1984,949
1984,677
1984,1022
1984,898
1984,659
1984,765
1984,209
1984,449
1984,56
1984,753
1984,1048
1984,1027
1984,392
1984,559
1984,753
1984,1027
1984,559
1984,878
1984,1049
1984,1098
1984,719
1984,907
1984,613
1984,359
1984,532
1984,1043
1984,440
1984,998
1984,464
1984,558
1984,789
1984,1017
1984,813
1984,836
1984,626
1984,239
1984,1057
1984,970
1984,1051
1984,1049
1984,866
1984,362
1984,743
1984,1024
1984,1046
1984,549
1984,390
1984,1138
1984,1062
1984,314
1984,579
1984,466
1984,1039
1984,1054
1984,1028
1984,1035
1984,168
1984,608
1984,1041
1984,1045
1984,246
1984,447
1984,644
1984,725
1984,992
1984,455
1984,1042
1984,69
1984,391
1984,593
1984,918
1984,983
1984,1069
1984,602
1984,594
1984,739
1984,939
1984,592
1984,596
1984,1026
1984,1058
1984,708
1984,67
1984,228
1984,909
1984,1056
1984,999
1984,1049
1984,1058
1984,1063
1984,520
1984,1033
1984,875
1984,1037
1984,1011
1984,264
1984,722
1984,949
1984,321
1984,1022
1984,697
1985,204000
1985,285000
1985,1650000
1985,286307
1985,3240000
1985,3620000
1985,3760000
1985,3800000
1985,3480000
1985,8550000
1985,3630000
1985,50000
1985,2410000
1985,887000
1985,10336
1985,10679
1985,2400000
1985,2400000
1985,3500000
1985,891000
1985,4040000
1985,3550000
1985,1680000
1985,1670000
1985,15623
1985,15787
1985,2030000
1985,2100000
1985,702540
1985,223000
1985,258727
1985,7312274
1985,459480
1985,1580
1985,1445560
1985,51472
1985,2722731
1985,1517449
1985,13288584
1985,2835238
1985,2438276
1985,1982700
1985,4351200
1985,1200000
1985,47127
1985,884800
1985,3802398
1985,27600
1985,1517602
1985,1386657
1985,235807
1985,683089
1985,9060
1985,9775184
1985,1295240
1985,24155256
1985,2423500
1985,3722695
1985,7753933
1985,2181982
1985,3240392
1985,772450
1985,1603280
1985,2805115
1985,2472300
1985,3995114
1985,240000
1985,3990000
1985,805
1985,907
1985,909
1985,476
1985,619
1985,627
1985,756
1985,850
1985,433
1985,540
1985,1081
1985,1393
1985,233
1985,297
1985,500
1985,551
1985,670
1985,701
1985,366
1985,720
1985,841
1985,590
1985,1019
1985,1033
1985,1040
1985,1067
1985,1535
1985,267
1985,208
1985,313
1985,395
1985,534
1985,524
1985,728
1985,878
1985,178
1985,275
1985,658
1985,877
1985,678
1985,693
1985,776
1985,919
1985,1037
1985,1028
1985,1115
1985,102
1985,386
1985,782
1985,108
1985,231
1985,524
1985,568
1985,661
1985,756
1985,928
1985,909
1985,897
1985,906
1985,26
1985,340
1985,660
1985,663
1985,782
1985,805
1985,1057
1985,9
1985,433
1985,602
1985,625
1985,713
1985,756
1985,872
1985,791
1985,366
1985,493
1985,584
1985,629
1985,731
1985,904
1985,1095
1985,430
1985,661
1985,784
1985,855
1985,1020
1985,1046
1985,1047
1985,1058
1985,1118
1985,242
1985,771
1985,524
1985,242
1985,426
1985,518
1985,532
1985,567
1985,697
1985,791
1985,788
1985,882
1985,318
1985,391
1985,402
1985,443
1985,526
1985,611
1985,623
1985,960
1985,981
1985,1038
1985,1018
1985,1040
1985,544
1985,734
1985,1134
1985,918
1985,1033
1985,1095
1985,1145
1985,163
1985,391
1985,709
1985,793
1985,871
1985,897
1985,989
1985,316
1985,468
1985,770
1985,949
1985,1042
1985,1032
1985,1049
1985,405
1985,628
1985,565
1986,570740
1986,261091
1986,9000000
1986,7930000
1986,4400000
1986,4980000
1986,1560000
1986,7960000
1986,5340000
1986,4960000
1986,8170000
1986,50000
1986,8740000
1986,58500
1986,10434
1986,9823
1986,9575
1986,450000
1986,10800000
1986,8420000
1986,400000
1986,1626400
1986,9763780
1986,245236
1986,40866
1986,2242374
1986,26711
1986,113951
1986,1186720
1986,5098804
1986,3522933
1986,628215
1986,112040
1986,2738440
1986,10024827
1986,662126
1986,25301
1986,16551
1986,15589
1986,19724672
1986,6337915
1986,1770800
1986,3066000
1986,1328000
1986,2200000
1986,35750
1986,2142825
1986,8520873
1986,3960132
1986,6901375
1986,3698200
1986,58000
1986,33962
1986,1610002
1986,301708
1986,332845
1986,10050822
1986,3938579
1986,2650446
1986,3111392
1986,3151303
1986,3600987
1986,3227012
1986,3085060
1986,3713518
1986,322996
1986,324212
1986,294961
1986,276677
1986,803505
1986,887257
1986,1052734
1986,887256
1986,1286500
1986,874403
1986,685343
1987,4500000
1987,8811000
1987,196000
1987,21140000
1987,19250000
1987,44000
1987,3990000
1987,1040000
1987,2760000
1987,11800000
1987,10900000
1987,1982450
1987,12348543
1987,64088
1987,192991
1987,301361
1987,670824
1987,53000
1987,7164828
1987,7010714
1987,368345
1987,10499778
1987,222126
1987,1675050
1987,1258800
1987,1805000
1987,9004000
1987,2874000
1987,3722600
1987,1046080
1987,241000
1987,1650000
1987,2895000
1987,24621200
1987,104500
1987,98604
1987,99036
1987,1600000
1987,14200000
1987,2369000
1987,1539668
1987,2931000
1987,5913000
1987,6766000
1987,3386000
1987,3516000
1987,3127000
1987,1578332
1987,557500
1987,568650
1987,564190
1987,539660
1987,1202301
1987,1148699
1987,1055876
1987,992689
1987,970311
1987,1056928
1987,1084124
1987,1038072
1988,8600000
1988,9900000
1988,29181000
1988,21574717
1988,316000
1988,80000
1988,225000
1988,311000
1988,152000
1988,930000
1988,256000
1988,1000000
1988,5170000
1988,8060000
1988,13300000
1988,13800000
1988,1287060
1988,19369700
1988,330809
1988,90654
1988,79951
1988,2326836
1988,2922075
1988,5419282
1988,4265730
1988,9323496
1988,7640211
1988,586723
1988,709004
1988,9413831
1988,4665580
1988,15034137
1988,845750
1988,3480508
1988,6426075
1988,2068938
1988,809445
1988,1281694
1988,3531041
1988,1038276
1988,605625
1988,3137700
1988,25003000
1988,97000
1988,594250
1988,4550
1988,450000
1988,14250000
1988,1389465
1988,4420800
1988,9471400
1988,6306500
1988,2194000
1988,6455000
1988,1417535
1988,1311655
1988,1928000
1988,1270345
1988,411000
1988,653500
1988,669970
1988,655070
1988,635460
1988,570270
1988,581390
1988,892545
1988,558920
1988,514420
1988,864365
1988,886615
1988,833075
1989,7700000
1989,5539150
1989,39895
1989,90089
1989,135689
1989,17997
1989,13288
1989,92840
1989,158997
1989,51994
1989,2942964
1989,523240
1989,143989
1989,4450000
1989,1260000
1989,693000
1989,42500
1989,16035755
1989,85073
1989,25488
1989,43605
1989,141960
1989,543324
1989,45000
1989,20000
1989,8508356
1989,5917229
1989,2802056
1989,504940
1989,8899120
1989,6133177
1989,22158676
1989,4538524
1989,3998252
1989,101657
1989,5779389
1989,420357
1989,3772704
1989,955527
1989,12820984
1989,2932000
1989,529565
1989,34249000
1989,26051600
1989,2950500
1989,8321937
1989,5101863
1989,33600
1989,726250
1989,583140
1989,827000
1989,2929947
1989,21829
1989,5724
1989,5445000
1989,8174750
1989,3849100
1989,9035250
1989,3718900
1989,5925000
1989,4948000
1989,1161688
1989,1305480
1989,1315697
1989,1135243
1989,1179256
1989,1227096
1989,1003730
1989,1916000
1989,966270
1989,1241926
1990,2181865
1990,11413683
1990,891432
1990,1655819
1990,50086
1990,46926
1990,141921
1990,22420058
1990,6286
1990,977040
1990,1304928
1990,2345665
1990,3074423
1990,2881147
1990,8546352
1990,3040576
1990,2812058
1990,110496
1990,4857178
1990,4812387
1990,150984
1990,5021250
1990,4314260
1990,4312248
1990,4314375
1990,2511702
1990,2184452
1990,947824
1990,1545925
1990,100000
1990,2236600
1990,4020733
1990,4340000
1990,765155
1990,36371500
1990,26135291
1990,2363000
1990,1883100
1990,760000
1990,6348000
1990,8852
1990,16343063
1990,8639
1990,6677729
1990,9419
1990,3298
1990,18900
1990,732980
1990,270000
1990,4800000
1990,600000
1990,4387000
1990,5873000
1990,3993000
1990,1559300
1990,4938000
1990,1991000
1990,3478000
1990,4094000
1990,1993500
1990,482905
1990,533923
1990,523793
1990,523937
1990,533426
1990,530221
1990,547369
1990,507415
1991,2980447
1991,8720086
1991,11388793
1991,794673
1991,50115671
1991,22850
1991,1198321
1991,496878
1991,19017615
1991,15727308
1991,3183000
1991,3025000
1991,3129000
1991,5677903
1991,5648681
1991,4877258
1991,5043474
1991,4925564
1991,16258086
1991,18073558
1991,19800478
1991,1000000
1991,5156300
1991,753850
1991,1143670
1991,2019800
1991,4402000
1991,1499032
1991,5437000
1991,76135
1991,95000
1991,37686000
1991,26589400
1991,4802000
1991,50062
1991,12524437
1991,12221438
1991,50063
1991,1837000
1991,562000
1991,280000
1991,2500000
1991,997000
1991,6694000
1991,1600000
1991,2099800
1991,4274000
1991,2822000
1991,7407000
1991,4110500
1991,3404990
1991,3943000
1991,2310000
1991,3407000
1991,1398517
1991,1490341
1991,1523648
1991,1603194
1991,1572499
1991,1620282
1991,1555744
1991,1457075
1991,1531354
1991,1541206
1991,1590746
1991,1336095
1991,1530277
1991,1474598
1991,1385345
1991,1391379
1992,19578450
1992,19342342
1992,423000
1992,39616263
1992,374524
1992,242871
1992,17873408
1992,18044646
1992,6709659
1992,11708268
1992,250808
1992,48951
1992,1049
1992,178263
1992,8321737
1992,5515021
1992,9905058
1992,20321587
1992,11314824
1992,15095770
1992,11915815
1992,6236780
1992,604115
1992,6278330
1992,2029170
1992,3567425
1992,2147000
1992,525000
1992,195457
1992,387450
1992,36479100
1992,19650100
1992,8500
1992,4030900
1992,7490156
1992,4690852
1992,26445
1992,15400
1992,2582600
1992,15148
1992,4459555
1992,34844
1992,32000
1992,132000
1992,2458000
1992,1754000
1992,4000
1992,9040000
1992,2714000
1992,4876300
1992,5011000
1992,4864000
1992,2804000
1992,2499000
1992,2438000
1992,4539000
1992,4540000
1992,4853500
1992,5792400
1992,3625400
1992,1586100
1992,1628300
1992,1483600
1992,1332800
1992,1987300
1992,2161200
1992,1830500
1992,2041700
1992,1728000
1992,1763000
1992,3461900
1992,3312900
1992,1795200
1992,1720200
1993,12136000
1993,6089000
1993,14629000
1993,5336000
1993,51188666
1993,71600
1993,1556495
1993,17668747
1993,18479683
1993,9545177
1993,395881
1993,11495384
1993,9682717
1993,333458
1993,15768972
1993,32660175
1993,12060809
1993,14942130
1993,668860
1993,5725790
1993,8661860
1993,1301730
1993,2993015
1993,1191585
1993,6440000
1993,1250000
1993,47256
1993,643952
1993,36530800
1993,25912100
1993,2898500
1993,1961000
1993,34835
1993,2187474
1993,50083
1993,10915917
1993,6526
1993,11676165
1993,131600
1993,2301000
1993,2139000
1993,88000
1993,6790000
1993,5023600
1993,7570000
1993,5071400
1993,10524878
1993,3134972
1993,2979593
1993,2917339
1993,5040600
1993,5051300
1993,3122350
1993,4767700
1993,2906472
1993,1746900
1993,1744780
1993,1822540
1993,1755380
1993,2060864
1993,2167416
1993,1969690
1993,1969690
1993,2647522
1993,2843680
1993,2715608
1993,2687948
1993,2346412
1993,2914830
1994,3549822
1994,6014869
1994,12190000
1994,6000000
1994,43000000
1994,54070
1994,1372
1994,260384
1994,31912325
1994,2905206
1994,6464450
1994,2934969
1994,2934969
1994,5833126
1994,14635458
1994,4331649
1994,4331249
1994,6906660
1994,235150
1994,6838780
1994,1995945
1994,14400
1994,1200
1994,8000
1994,8500
